estim	class	model
./libspineestim.so	device8	453.067 106.803
./libbasicestim.so	device8	0.494368 0.23514 0.0197343 0.00727849
./libsolidestim.so	device8	0.872865 0.10955
./libspineestim.so	rat	572.8 164.249
./libbasicestim.so	rat	0.467433 0.201614 0.0294577 0.00676924
./libsolidestim.so	rat	0.632488 0.0991686
./libspineestim.so	device4	647.867 459.746
./libbasicestim.so	device4	0.422278 0.187873 0.0503791 0.0109005
./libsolidestim.so	device4	0.911111 0.0788664
./libspineestim.so	tree	519.267 171.138
./libbasicestim.so	tree	0.426404 0.204057 0.0298124 0.010798
./libsolidestim.so	tree	0.838595 0.0912782
./libspineestim.so	cellular_phone	193.533 187.616
./libbasicestim.so	cellular_phone	0.421738 0.202984 0.00825131 0.00801775
./libsolidestim.so	cellular_phone	0.981164 0.022461
./libspineestim.so	Heart	389.267 59.6338
./libbasicestim.so	Heart	0.549303 0.213874 0.0196128 0.00748883
./libsolidestim.so	Heart	0.911878 0.030255
./libspineestim.so	classic	490 152.93
./libbasicestim.so	classic	0.46379 0.220287 0.0102514 0.00727168
./libsolidestim.so	classic	0.89814 0.0516237
./libspineestim.so	key	518.067 36.0619
./libbasicestim.so	key	0.382175 0.205389 0.019753 0.00962964
./libsolidestim.so	key	0.794825 0.0695239
./libspineestim.so	teddy	539.133 69.2675
./libbasicestim.so	teddy	0.544857 0.214203 0.0044317 0.00119804
./libsolidestim.so	teddy	0.879328 0.00797209
./libspineestim.so	fish	727.333 72.8273
./libbasicestim.so	fish	0.439772 0.239758 0.0182381 0.00781507
./libsolidestim.so	fish	0.841667 0.0809533
./libspineestim.so	fork	489.867 116.672
./libbasicestim.so	fork	0.43284 0.237808 0.0423023 0.0117017
./libsolidestim.so	fork	0.569988 0.151993
./libspineestim.so	device9	772.333 738.473
./libbasicestim.so	device9	0.659944 0.230319 0.0125849 0.00450365
./libsolidestim.so	device9	0.951774 0.0311084
./libspineestim.so	carriage	572.867 21.7221
./libbasicestim.so	carriage	0.455708 0.229984 0.0126335 0.00555007
./libsolidestim.so	carriage	0.601571 0.0283747
./libspineestim.so	lmfish	432.867 122.489
./libbasicestim.so	lmfish	0.435891 0.247167 0.0115102 0.00695459
./libsolidestim.so	lmfish	0.898131 0.0572854
./libspineestim.so	horseshoe	870.133 154.558
./libbasicestim.so	horseshoe	0.639858 0.143719 0.0354632 0.0173793
./libsolidestim.so	horseshoe	0.617638 0.0996545
./libspineestim.so	flatfish	731.267 116.69
./libbasicestim.so	flatfish	0.433188 0.201677 0.0219852 0.00490139
./libsolidestim.so	flatfish	0.925339 0.0327121
./libspineestim.so	device6	657.867 369.575
./libbasicestim.so	device6	0.570831 0.206396 0.0409391 0.0122982
./libsolidestim.so	device6	0.838277 0.141175
./libspineestim.so	pocket	348.333 118.61
./libbasicestim.so	pocket	0.520135 0.184563 0.0433996 0.0147572
./libsolidestim.so	pocket	0.930423 0.0535841
./libspineestim.so	cattle	633.133 159.171
./libbasicestim.so	cattle	0.478172 0.221079 0.0258563 0.0132979
./libsolidestim.so	cattle	0.823122 0.0647784
./libspineestim.so	spoon	541.067 64.7966
./libbasicestim.so	spoon	0.434411 0.236214 0.012283 0.00457978
./libsolidestim.so	spoon	0.879491 0.118435
./libspineestim.so	truck	471.133 65.9048
./libbasicestim.so	truck	0.500125 0.221937 0.00861378 0.00379925
./libsolidestim.so	truck	0.891285 0.0197795
./libspineestim.so	stef	641.467 147.585
./libbasicestim.so	stef	0.412062 0.223873 0.0838212 0.0408765
./libsolidestim.so	stef	0.538733 0.141704
./libspineestim.so	Bone	494.933 24.4417
./libbasicestim.so	Bone	0.551009 0.259227 0.0322727 0.00797293
./libsolidestim.so	Bone	0.971984 0.0348216
./libspineestim.so	device2	352.733 178.793
./libbasicestim.so	device2	0.532525 0.215479 0.0469537 0.01516
./libsolidestim.so	device2	0.729059 0.138431
./libspineestim.so	turtle	600.533 179.775
./libbasicestim.so	turtle	0.444972 0.205674 0.0184627 0.00643573
./libsolidestim.so	turtle	0.870959 0.0599077
./libspineestim.so	brick	486 142.669
./libbasicestim.so	brick	0.491721 0.234435 0.0106797 0.00320703
./libsolidestim.so	brick	0.863659 0.0149896
./libspineestim.so	apple	187.133 52.2263
./libbasicestim.so	apple	0.524228 0.19231 0.0292444 0.00849758
./libsolidestim.so	apple	0.977069 0.0180283
./libspineestim.so	ray	566.2 220.844
./libbasicestim.so	ray	0.399253 0.175604 0.0184191 0.00477185
./libsolidestim.so	ray	0.83619 0.0782656
./libspineestim.so	device3	396.067 619.172
./libbasicestim.so	device3	0.546224 0.203825 0.0379175 0.00881408
./libsolidestim.so	device3	0.912423 0.0862292
./libspineestim.so	bat	427.267 225.611
./libbasicestim.so	bat	0.40795 0.207703 0.0296854 0.0103169
./libsolidestim.so	bat	0.753529 0.0783723
./libspineestim.so	hammer	309.733 231.155
./libbasicestim.so	hammer	0.439838 0.218569 0.00303029 0.00527998
./libsolidestim.so	hammer	0.600358 0.105092
./libspineestim.so	device0	476.067 85.0987
./libbasicestim.so	device0	0.526859 0.222134 0.0367903 0.0120861
./libsolidestim.so	device0	0.746981 0.0592288
./libspineestim.so	children	799.533 42.1313
./libbasicestim.so	children	0.465753 0.250458 0.00185067 0.00114787
./libsolidestim.so	children	0.858251 0.0089327
./libspineestim.so	elephant	809.467 179.885
./libbasicestim.so	elephant	0.46969 0.193278 0.0265327 0.00582415
./libsolidestim.so	elephant	0.839967 0.0616316
./libspineestim.so	deer	771.733 185.387
./libbasicestim.so	deer	0.450984 0.227193 0.0286007 0.0103994
./libsolidestim.so	deer	0.624076 0.0644534
./libspineestim.so	lizzard	679.267 194.128
./libbasicestim.so	lizzard	0.4535 0.210814 0.0338317 0.0258654
./libsolidestim.so	lizzard	0.674266 0.184719
./libspineestim.so	device1	429.733 120.055
./libbasicestim.so	device1	0.528963 0.211101 0.021158 0.00591799
./libsolidestim.so	device1	0.857539 0.0763413
